field_id,latitude,longitude,year,season_number,season_start,season_end,season_length_days,yield_kg_ha,ndvi_peak,ndvi_mean,ndvi_auc,ndvi_slope_mid,precip_cum,rh_mean,gdd_cum,solar_cum,water_stress_index
field_39.8000_-98.6000,39.8,-98.6,2014,1,25-05-2014,17-11-2014,176,7584.819309803594,0.7381,0.5103858757062147,1440.9832000000001,0.0032866666666666673,488.38,61.61197740112994,1833.4399999999998,3517.5800000000004,0.2499855503293009
field_39.8000_-98.6000,39.8,-98.6,2015,1,25-05-2015,01-11-2015,160,7261.670665163618,0.8936,0.5584857142857144,1434.7304000000004,0.01299,411.56,62.44521739130435,1933.9199999999998,3281.17,0.2746747469619228
field_39.8000_-98.6000,39.8,-98.6,2016,1,15-05-2016,11-12-2016,210,8178.429235265092,0.6159,0.39039004739336486,1312.7343999999998,0.01168,480.65999999999997,65.2663981042654,2048.9700000000003,3780.66,0.21487204792345183
field_39.8000_-98.6000,39.8,-98.6,2017,1,09-05-2017,01-11-2017,176,8106.376998784317,0.856,0.5273819209039549,1488.5167999999999,0.009563333333333335,478.3,60.23785310734463,1989.2600000000002,3657.12,0.27789547306542395
field_39.8000_-98.6000,39.8,-98.6,2018,1,07-04-2018,16-10-2018,192,7685.108050484351,0.5378,0.39273212435233157,1208.2664,0.0006066666666666665,693.1300000000001,65.3618652849741,2109.39,3959.27,0.234814846612437
field_39.8000_-98.6000,39.8,-98.6,2019,1,09-05-2019,01-11-2019,176,7502.517195123384,0.8617,0.5968836158192091,1685.4896,-0.000543333,682.46,72.81005649717515,1813.05,3612.9799999999996,0.17811922047517198
field_39.8000_-98.6000,39.8,-98.6,2020,1,24-05-2020,15-10-2020,144,6708.370546894575,0.89,0.5695420689655171,1317.2736,0.00773,352.35999999999996,62.4028275862069,1808.81,3250.84,0.28108337538803013
field_39.8000_-98.6000,39.8,-98.6,2021,1,09-05-2021,01-11-2021,176,7765.671987428749,0.779,0.5223864406779662,1474.4672,-0.00092,433.54999999999995,63.824576271186444,2064.27,3559.5,0.26000183122665904
field_39.8000_-98.6000,39.8,-98.6,2022,1,23-04-2022,16-10-2022,176,7856.565022415715,0.6705,0.45638192090395474,1288.0543999999998,0.0068833333333333325,398.71000000000004,54.487175141242936,2252.15,3893.4799999999996,0.3436021140306638
field_39.8000_-98.6000,39.8,-98.6,2023,1,25-05-2023,01-11-2023,160,7302.5738479152615,0.8566,0.5456260869565217,1400.932,-0.002043333,405.5,57.32739130434782,2062.63,3309.2999999999997,0.31910629792060496
field_39.8000_-98.6000,39.8,-98.6,2024,1,08-05-2024,28-09-2024,143,7047.734506332914,0.8003,0.5500368055555556,1261.4391999999998,0.009026666666666667,322.18,57.25791666666666,2010.23,3235.07,0.3413657828221451
field_39.8000_-98.6000,39.8,-98.6,2025,1,28-06-2025,13-08-2025,46,5299.408518932931,0.7802,0.7319106382978723,538.94,-0.00259,210.64000000000007,67.37957446808511,753.7,111.65999999999997,0.2831036505205975
field_41.5000_-99.7000,41.5,-99.7,2014,1,25-05-2014,01-11-2014,160,7587.3751064326625,0.8944,0.6361347826086956,1634.7256,0.00017666666666666942,435.97999999999996,60.57391304347826,1547.81,3293.24,0.25493332289134935
field_41.5000_-99.7000,41.5,-99.7,2015,1,25-05-2015,16-10-2015,144,6853.016406882706,0.9179,0.557261379310345,1289.0128000000002,0.014293333333333335,342.03999999999996,60.421034482758614,1655.98,2972.79,0.2824136612604043
field_41.5000_-99.7000,41.5,-99.7,2016,1,24-05-2016,31-10-2016,160,7078.756852998783,0.8956,0.6204459627329194,1594.1480000000001,6.99999999999997e-05,346.59,61.33093167701864,1681.98,3287.76,0.26226034642182006
field_41.5000_-99.7000,41.5,-99.7,2017,1,10-06-2017,30-09-2017,112,6329.494518886585,0.8678,0.4757964601769912,855.3824,0.005379999999999999,360.21000000000004,56.42681415929203,1404.4,2464.61,0.32567293183491275
field_41.5000_-99.7000,41.5,-99.7,2018,1,25-05-2018,01-11-2018,160,7523.558893864574,0.9158,0.6268012422360248,1610.4607999999998,-0.001836667,460.70000000000005,68.31403726708075,1523.21,3132.62,0.19836396706917164
